search_term,status,campaign_name,ad_group_name,impressions,clicks,ctr,cost,conversions,cost_per_conversion
endoscopia diagnostica,NONE,Endoscopia,Endoscopy - Core,7,0,0,0.0,0,
endoscopia diagnostica y terapeutica,ADDED,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia digestiva alta para que sirve,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
endoscopia digestiva alta que detecta,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia digestiva cerca de mi,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia digestiva que es,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia digestiva salud digna,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
endoscopia digital,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia donde la hacen,NONE,Endoscopia,Endoscopy - Core,6,0,0,0.0,0,
endoscopia duele,NONE,Endoscopia,Endoscopy - Core,5,0,0,0.0,0,
endoscopia e instrumentos sa de cv,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia en bebes,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia en cancun,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia en chopo,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia en el ano,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia en el utero,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia en hermosillo,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia en la vejiga,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia en niños,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia en niños de 10 años,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia en niños de 3 años,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia en playa del carmen,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia en puebla,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia en que consiste,NONE,Endoscopia,Endoscopy - Core,4,0,0,0.0,0,
endoscopia erge,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia es ambulatoria,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia es en ayunas,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia esofagogastroduodenal,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
endoscopia esofagogastroduodenoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia faringolaringea,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia gastrica,NONE,Endoscopia,Endoscopy - Core,7,0,0,0.0,0,
endoscopia gástrica,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia hernia hiatal,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
endoscopia imss,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia indicaciones,NONE,Endoscopia,Endoscopy - Core,7,0,0,0.0,0,
endoscopia indicaciones previas,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia inferior,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia instrucciones,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia intervencionista,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
endoscopia intestinal,NONE,Endoscopia,Endoscopy - Core,4,0,0,0.0,0,
endoscopia issste,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia lapi,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia laringea,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia lugares,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
endoscopia mexico,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia médico especialista,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia nasal salud digna,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia o endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia para el higado,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia para estomago,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia para extracción de cuerpo extraño,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia para gastritis,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
endoscopia para la garganta,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia para que es,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
endoscopia para que se hace,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia para retirar calculo biliar,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia para ver vesicula,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia pediatrica,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia polipos,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia por gastritis,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia porque se realiza,NONE,Endoscopia,Endoscopy - Core,4,0,0,0.0,0,
endoscopia preparación,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia que detecta,NONE,Endoscopia,Endoscopy - Core,14,0,0,0.0,0,
endoscopia que es y como se hace,NONE,Endoscopia,Endoscopy - Core,6,0,0,0.0,0,
endoscopia que es y para que sirve,NONE,Endoscopia,Endoscopy - Core,36,0,0,0.0,0,
endoscopia que hacer despues,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia que medico lo hace,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia que puede detectar,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia que se siente,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia quien la hace,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia r34,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia reflujo,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia requiere anestesia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia requisitos,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia resultados tiempo,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia riesgos,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia rigida,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia se necesita anestesia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia sedacion,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
endoscopia significado medico,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia similares,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia simple,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia sin anestesia,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
endoscopia sin anestesia duele,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia superior,NONE,Endoscopia,Endoscopy - Core,15,0,0,0.0,0,
endoscopia superior con biopsia,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
endoscopia superior procedimiento,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia terapeutica,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia tiempo de duracion,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia tubo digestivo,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia ultrasonido,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia vesicula,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia video,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia video real,NONE,Endoscopia,Endoscopy - Core,4,0,0,0.0,0,
endoscopia virtual por tomografía,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopia y biopsia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia y gastroscopia es lo mismo,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopia y panendoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopias cerca de mi,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
endoscopias que es,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopica,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopico,NONE,Endoscopia,Endoscopy - Core,4,0,0,0.0,0,
endoscopio gastrointestinal,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopio y colonoscopio,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopista gastroenterologo,NONE,Endoscopia,Endoscopy - Core,4,0,0,0.0,0,
endoscopista gastrointestinal,NONE,Endoscopia,Endoscopy - Core,8,0,0,0.0,0,
endoscopista que es,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopy,NONE,Endoscopia,Endoscopy - Core,10,0,0,0.0,0,
endoscopy price,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscopía digestiva alta,NONE,Endoscopia,Endoscopy - Core,4,0,0,0.0,0,
endoscopía gastrica,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
endoscopía gastrointestinal superior,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopía procedimiento,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
endoscopía y colonoscopia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
endoscópica,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
enteroscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
enteroscopia con balon,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
ercp,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
eroscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
es bueno hacerse una endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
es endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
es lo mismo endoscopia que panendoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
es peligrosa una endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
es peligroso realizarse una endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
esfinterotomía endoscópica,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
esofago gastro duodenoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
esofagogastroduodenoscopia preparacion,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
esofagogastroduodenoscopia salud digna,NONE,Endoscopia,Endoscopy - Core,4,0,0,0.0,0,
especialista en endoscopia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
estocopia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
estomago endoscopia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
estomago endoscopia ulcera,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
estudio camara por la boca,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
estudio cepra,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
estudio cepre,NONE,Endoscopia,Endoscopy - Core,8,0,0,0.0,0,
estudio con capsula endoscopica,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
estudio cpre,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
estudio de camara en el estomago,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
estudio de cepre,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
estudio de cpre,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
estudio de endoscopia en salud digna,NONE,Endoscopia,Endoscopy - Core,11,0,0,0.0,0,
estudio de estomago,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
estudio de estómago,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
estudio de gastroscopia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
estudio de la cámara en el estomago,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
estudio del estomago como se llama,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
estudio del estomago e intestinos,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
estudio del estómago como se llama,NONE,Endoscopia,Endoscopy - Core,6,0,0,0.0,0,
estudio del estómago con camara,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
estudio donde meten camara por la boca,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
estudio donde te meten una camara por la boca,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
estudio egd,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
estudio endoscopia,NONE,Endoscopia,Endoscopy - Core,14,0,0,0.0,0,
estudio estomago camara,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
estudio para revisar el estómago,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
estudio para ver el estomago,NONE,Endoscopia,Endoscopy - Core,10,0,0,0.0,0,
estudio para ver el estomago por dentro,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
estudio para ver estomago,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
estudio que meten una camara por la boca,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
estudio que te meten a una capsula,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
estudio que te meten camara por la boca,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
estudio que te meten un tubo por la boca,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
estudio que te meten una camara por la boca,NONE,Endoscopia,Endoscopy - Core,4,0,0,0.0,0,
estudio que te meten una camarita por la boca,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
estudio sepre,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
estudios de cpre,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
estudios de endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
estudios de estomago como se llama,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
estudios del estomago,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
esófagogastroduodenoscopia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
examen de endoscopia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
examen de estomago como se llama,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
examen de estómago como se llama,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
examen del estomago,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
examen para revisar el estomago,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
gastritis endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
gastro endoscopista,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
gastroendoscopia,NONE,Endoscopia,Endoscopy - Core,11,0,0,0.0,0,
gastroenterologo y endoscopista,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
gastroenterólogo endoscopista,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
gastroscopia es lo mismo que endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
gastroscopia que es,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
hacen endoscopias en salud digna,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
hacer endoscopia digestiva,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
hasta donde llega la endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
helicobacter pylori endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
hernia de hiato endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
hernia hiatal endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
hiato cerrado endoscopia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
imágenes endoscopia úlcera gástrica,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
indicaciones para endoscopia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
indicaciones para endoscopia digestiva,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
indicaciones para realizar una endoscopia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
indicaciones para una endoscopia,NONE,Endoscopia,Endoscopy - Core,6,0,0,0.0,0,
indicaciones previas a endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
k es endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
la endoscopia duele,NONE,Endoscopia,Endoscopy - Core,4,0,0,0.0,0,
la endoscopia es ambulatoria,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
la endoscopia lleva anestesia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
la endoscopia para que sirve,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
la endoscopia que es,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
la endoscopia se hace con anestesia,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
la endoscopia sirve para detectar cancer,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
laboratorios que realizan endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
laparoscopia endoscopica,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
los resultados de la endoscopia son inmediatos,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
lugar donde hacen endoscopia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
lugares donde realizan endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
lugares para hacer endoscopia,NONE,Endoscopia,Endoscopy - Core,6,0,0,0.0,0,
mallory weiss endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
medico endoscopia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
medico endoscopista,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
monoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
nescopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
operación con endoscopia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
operación de endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
opiniones de centro endoscópico de oriente,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
panedoscopia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
panendo,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
panendoscopia chopo,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
panendoscopia con sedación,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
panendoscopia con toma de biopsia,NONE,Endoscopia,Endoscopy - Core,12,0,0,0.0,0,
panendoscopia diagnostica,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
panendoscopia es lo mismo que endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
panendoscopia gastritis,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
panendoscopia oral,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
panendoscopia para que sirve,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
panendoscopia que es y para que sirve,NONE,Endoscopia,Endoscopy - Core,4,0,0,0.0,0,
panendoscopia y colonoscopia,NONE,Endoscopia,Endoscopy - Core,4,0,0,0.0,0,
panendoscopia y endoscopia diferencia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
panendoscopia y endoscopia es lo mismo,NONE,Endoscopia,Endoscopy - Core,11,0,0,0.0,0,
panendoscopias,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
panendoscopía que es,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
panoscopia,NONE,Endoscopia,Endoscopy - Core,9,0,0,0.0,0,
para endoscopia,NONE,Endoscopia,Endoscopy - Core,4,0,0,0.0,0,
para hacer endoscopia te anestesian,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
para hacerse una endoscopia hay que ir en ayuna,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
para la endoscopia es en ayunas,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
para que endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
para que es el estudio cpre,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
para que es el estudio de endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
para que es la endoscopia,NONE,Endoscopia,Endoscopy - Core,6,0,0,0.0,0,
para que es la endoscopia en el estomago,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
para que es una endoscopia,NONE,Endoscopia,Endoscopy - Core,4,0,0,0.0,0,
para que es una endoscopia digestiva,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
para que se hace endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
para que se hace la endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
para que se hace una esofagogastroduodenoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
para que sirve el estudio cepre,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
para que sirve el estudio de endoscopia,NONE,Endoscopia,Endoscopy - Core,5,0,0,0.0,0,
para que sirve endoscopia digestiva,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
para que sirve la colonoscopia y endoscopia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
para que sirve la endoscopia al estomago,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
para que sirve la panendoscopia,NONE,Endoscopia,Endoscopy - Core,4,0,0,0.0,0,
para que sirve una cpre,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
para que sirven las endoscopias,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
para qué es la endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
para qué sirve la endoscopia,NONE,Endoscopia,Endoscopy - Core,4,0,0,0.0,0,
para realizar una endoscopia te duermen,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
para una endoscopia cuantas horas de ayuno,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
para una endoscopia se debe ir en ayunas,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
polipectomia endoscopica,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
polipos endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
por donde se hace la endoscopia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
por qué se hace una endoscopia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
porque hacen la endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
porque se hace una endoscopia,NONE,Endoscopia,Endoscopy - Core,4,0,0,0.0,0,
porque se toma biopsia en una endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
porque te mandan hacer una endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
pre endoscopia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
preparacion para endoscopia,NONE,Endoscopia,Endoscopy - Core,9,0,0,0.0,0,
preparacion previa para endoscopia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
preparación para endoscopia con sedación,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
preparación para endoscopia y colonoscopia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
preparación para una endoscopia,NONE,Endoscopia,Endoscopy - Core,4,0,0,0.0,0,
preparativos para una endoscopia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
presio de una endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
procedimiento cpre para que sirve,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
procedimiento cpre que es,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
procedimiento de cpre,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
procedimiento de endoscopia,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
procedimiento de una endoscopia,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
procedimiento endoscopico,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
procedimiento para una endoscopia gastrica,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
procedimientos de endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
procedimientos endoscopicos en gastroenterologia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
protocolo sydney endoscopia,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
prueba cpre,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
prueba gastroscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
que detecta una endoscopia de estomago,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
que doctor hace la endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
que es colangiopancreatografía retrógrada endoscópica,NONE,Endoscopia,Endoscopy - Core,3,0,0,0.0,0,
que es cpre,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
que es el cpre,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
que es el endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
que es el estudio clinico cpre,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
que es el estudio de endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
que es el examen de endoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
que es endoscopia cpre,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
que es endoscopia digestiva,NONE,Endoscopia,Endoscopy - Core,2,0,0,0.0,0,
que es endoscopia por donde se hace,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
que es endoscopia superior,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
que es esofagogastroduodenoscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
que es gastroscopia,NONE,Endoscopia,Endoscopy - Core,1,0,0,0.0,0,
