search_term,status,campaign_name,ad_group_name,impressions,clicks,ctr,cost,conversions,cost_per_conversion
ultrasonido endoscopico,NONE,Endoscopia,Endoscopy - Core,16,2,0.125,108.94,0.5,217.88
endoscopia merida precio,NONE,Endoscopia,Endoscopy Prices,11,4,0.3636,108.17,0,
qué precio tiene una endoscopia,NONE,Endoscopia,Endoscopy Prices,13,5,0.3846,107.85,1,107.85
centro endoscopico,ADDED,Endoscopia,Endoscopy - Core,26,4,0.1538,106.98,0,
que cuesta una endoscopia,NONE,Endoscopia,Endoscopy Prices,5,3,0.6,106.94,0,
cuál es el procedimiento de una endoscopia,NONE,Endoscopia,Endoscopy - Core,3,3,1,106.67,0,
endoscopia cerca de mi,NONE,Endoscopia,Endoscopy - Core,32,10,0.3125,105.48,0,
como es la endoscopia,NONE,Endoscopia,Endoscopy - Core,10,2,0.2,105.44,0,
como prepararse para una colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,4,2,0.5,104.84,0,
cuanto sale una endoscopia,NONE,Endoscopia,Endoscopy Prices,10,4,0.4,104.06,0,
qué es una colonoscopia,NONE,Colon Max Conversions,Colonoscopy - Core,11,3,0.2727,103.87,0,
endoscopia costo salud digna,NONE,Endoscopia,Endoscopy Prices,9,3,0.3333,103.31,0,
várices esofágicas pronóstico de vida,NONE,Ligadura Esofagica,Ligadura Esofagica,18,1,0.0556,102.89,0,
endoscopia de esofago,NONE,Endoscopia,Endoscopy - Core,1,2,2,102.04,0,
esófago gastroendoscopia,NONE,Endoscopia,Endoscopy - Core,6,4,0.6667,101.94,0,
como es el procedimiento de colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,1,2,2,101.76,0,
cepres cirugia,NONE,CPRE,CPRE - Core,7,3,0.4286,101.02,0,
para que sirve una endoscopia,NONE,Endoscopia,Endoscopy - Core,19,3,0.1579,100.96,0,
qué es colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,18,2,0.1111,100.67,0,
que es endoscopia y para que sirve,NONE,Endoscopia,Endoscopy - Core,35,3,0.0857,100.43,0,
la hemorroide se opera,NONE,Hemorroides,Hemorroides - Core,2,1,0.5,100.3,0,
cuanto sale una endoscopia en salud digna,NONE,Endoscopia,Endoscopy Prices,7,2,0.2857,100.15,0,
cuanto vale una colonoscopia,NONE,Colonoscopia,Colonoscopy - Pricing,9,3,0.3333,98.6,0,
cuanto tarda una endoscopia con biopsia,NONE,Endoscopia,Endoscopy - Core,9,2,0.2222,98.21,0,
varices en el estómago tiene cura,NONE,Ligadura Esofagica,Ligadura Esofagica,4,1,0.25,98.18,0,
