code,gclid,fbclid,utm_source,utm_medium,utm_campaign,utm_term,service,page_path,created
EDM-Q5RS97,CjwKCAjwx7LSBhB3EiwAjcodxFP_wbHv6QXCkOkWJEwe1hBEIQ7IXU7-UC-ZTrRwJVNnESnunqT0kBoC-Z8QAvD_BwE,,,,,,global,/endoscopia-merida,2026-07-08T00:32:05.820Z
EDM-DAUXZG,CjwKCAjwx7LSBhB3EiwAjcodxFP_wbHv6QXCkOkWJEwe1hBEIQ7IXU7-UC-ZTrRwJVNnESnunqT0kBoC-Z8QAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-08T00:22:32.607Z
EDM-WNKQCC,EAIaIQobChMIzMu0g5PBlQMVFQjvAh0XJCj6EAAYASAAEgLiAfD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-07T18:06:10.662Z
EDM-5BLYJ9,CjwKCAjwx7LSBhB3EiwAjcodxHgHUJEWD6dQJi40i22b89xIT-pBeV7DebckyrNOxWYZlR-hp4-JQBoChFkQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-07T18:04:09.294Z
EDM-MQSTE7,CjwKCAjwx7LSBhB3EiwAjcodxJ_LYBhKJz-yAR5zdFJ3n8QFkETn89TQ7yQSnTd36tapuvvibup-FBoCIHoQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-07T17:44:06.956Z
EDM-8CDXFY,CjwKCAjwpK3SBhASEiwAtV1SPOlptN6XA8L8fjSnZcs9AQKymU3yogCv7A5_Yz-4q12RMPDyMtsr7RoCKuYQAvD_BwE,,,,,,colonoscopia,/colonoscopia-merida,2026-07-07T00:31:09.763Z
EDM-CCBMU7,CjwKCAjwpK3SBhASEiwAtV1SPJw5yWjupRcIKVPn0gvMPTMiLswCLB-BslECapB5wuZyLyGqLvfxoxoCQGEQAvD_BwE,,,,,,global,/ultrasonido-endoscopico-merida,2026-07-06T20:03:57.553Z
EDM-Z254SV,CjwKCAjwpK3SBhASEiwAtV1SPFCfFgK9CRvZ9tAimEteMsEcqLCPJFIui9xhAd6sUQesYO3dPgJSvhoCqtsQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-06T19:56:23.675Z
EDM-92GHAX,CjwKCAjwpK3SBhASEiwAtV1SPFZUlpcGmbRw52WC7He976jZipfP5Q4xk7qvwxghCnmjpoO3JHr1PxoC7VUQAvD_BwE,,,,,,global,/precios,2026-07-06T16:19:30.452Z
EDM-KWTBCQ,CjwKCAjwpK3SBhASEiwAtV1SPPnOSrTDcCZYya9ok-RzitgrOoQnbhr9uKXTnU-1oElWQf5Oc8PaGRoCdNcQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-06T15:50:46.573Z
EDM-NP23H6,,,,,,,homepage,/,2026-07-04T21:29:29.082Z
EDM-BA2NDD,,,,,,,global,/colonoscopia-merida,2026-07-04T07:30:30.117Z
EDM-KN7C84,,,,,,,homepage,/,2026-07-04T03:36:55.553Z
EDM-QBSJ8Q,CjwKCAjwu53SBhAhEiwAJzSLNgvhOogllNz31f_3LU-zJlNAHcK-N3rT4HzkSdFT02IMDa6vnBpolxoC1ZYQAvD_BwE,,,,,,homepage,/,2026-07-04T00:38:59.138Z
EDM-XWKPND,CjwKCAjwu53SBhAhEiwAJzSLNkDKQzILFZitc-1jncEttwHLl26ahu32m1XL2LnzQDH4JkTMT_wNABoCqVkQAvD_BwE,,,,,,colonoscopia,/colonoscopia-merida,2026-07-03T23:15:46.691Z
EDM-TEST99,,,,,,,diagnostic-test,/diagnostic,2026-07-03T19:25:40.805Z
EDM-W88YJG,REALTEST_0703,,,,,,endoscopia,/lp/endoscopia,2026-07-03T18:56:29.543Z
EDM-L5XSNY,,,,,,,endoscopia,/lp/endoscopia,2026-07-03T18:36:30.955Z
EDM-YBFDKL,,,,,,,endoscopia,/lp/endoscopia,2026-07-03T18:36:26.488Z
EDM-XWFXGH,,,,,,,cpre,/lp/cpre,2026-07-03T18:35:50.917Z
EDM-36Q7VE,,,,,,,cpre,/lp/cpre,2026-07-03T18:35:44.075Z
EDM-QVZHFZ,CjwKCAjw0o3SBhBVEiwAh28-je0NH6TsnVLhwJQgfvjL5-VG2_Hl_j5CmpxskwAl7-V5GJn9gT_PLhoCsX4QAvD_BwE,,,,,,colonoscopia,/colonoscopia-merida,2026-06-30T23:36:43.309Z
EDM-K27L7S,CjwKCAjw0o3SBhBVEiwAh28-jVDxZ_btOCHupbvH8Bg1kr0vkAuTy9yueVcmsKurWxwhl-lXbfByxRoCKCwQAvD_BwE,,,,,,colonoscopia,/precios,2026-06-30T19:47:27.294Z
