eventName,pagePath,eventCount
whatsapp_click,/apc-coagulacion-plasma-argon-merida,2
whatsapp_click,/emergencias-digestivas-merida,2
whatsapp_click,/lp/hemorroides,2
whatsapp_click,/lp/ligadura-varices,2
whatsapp_click,/ultrasonido-endoscopico-merida,2
appointment_form_focus,/colonoscopia-merida,1
appointment_form_start,/colonoscopia-merida,1
click,/apc-coagulacion-plasma-argon-merida,1
click,/gastrostomia-endoscopica-peg-merida,1
faq_expand,/consultas-digestivas-merida,1
faq_expand,/dilatacion-biliar-merida,1
faq_expand,/ultrasonido-endoscopico-merida,1
first_visit,/dilatacion-colonica-merida,1
first_visit,/endoprotesis-duodenales-merida,1
first_visit,/endoprotesis-esofagicas-merida,1
first_visit,/esclerosis-varices-gastricas-merida,1
form_start,/colonoscopia-merida,1
page_view,/endoprotesis-duodenales-merida,1
page_view,/lp,1
phone_click,/apc-coagulacion-plasma-argon-merida,1
phone_click,/contacto,1
phone_click,/cpre-merida,1
phone_click,/emergencias-digestivas-merida,1
phone_click,/lp/ligadura-varices,1
phone_click,/precios,1
scroll,/capsula-endoscopica-merida,1
scroll,/cpre-playa-del-carmen,1
scroll,/endoprotesis-esofagicas-merida,1
scroll,/ligadura-varices-esofagicas-merida,1
scroll,/lp,1
scroll,/retiro-balon-gastrico-merida,1
scroll,/sutura-endoscopica-merida,1
scroll,/ultrasonido-endoscopico-merida,1
session_start,/capsula-endoscopica-merida,1
session_start,/dilatacion-colonica-merida,1
session_start,/endoprotesis-duodenales-merida,1
session_start,/endoprotesis-esofagicas-merida,1
user_engagement,/lp,1
user_engagement,/lp/ligadura-hemorroides,1
user_engagement,/reseccion-endoscopica-mucosa-emr-merida,1
video_play,/lp/ligadura-varices,1
whatsapp_click,/gastrostomia-endoscopica-peg-merida,1
